MES ;ANO;DESTINO;DESTINAÄ«O;RES÷DUO;CLASSE;CLASSE_12;MASSA(t);VIAGENS;Volume (m3);ORIGEM;NOTAS;
Fev;2010;COMARP;COLETA SELETIVA PMPV;METAL;RDO;RSU;1,7;;;SLU LEV;;
Fev;2010;COMARP;COLETA SELETIVA PMPV;PAPEL;RDO;RSU;17,02;;;SLU LEV;;
Fev;2010;COMARP;COLETA SELETIVA PMPV;PLµSTICO;RDO;RSU;15,31;;;SLU LEV;;
Fev;2010;COMARP;COLETA SELETIVA PMPV;MISTO;RDO;RSU;11,8;;;SLU Porta a Porta;;
Fev;2010;COMARP;COLETA SELETIVA PMPV;MISTO;RDO;RSU;67,25;;;Contratada Porta a Porta;;
Fev;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;METAL;RDO;RSU;2,27;;;SLU LEV;;
Fev;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;PAPEL;RDO;RSU;18,25;;;SLU LEV;;
Fev;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;PLµSTICO;RDO;RSU;6,3;;;SLU LEV;;
Fev;2010;Coopemar Oeste;COLETA SELETIVA PMPV;MISTO;RDO;RSU;29,42;;;SLU Porta a Porta;;
Fev;2010;Coopemar Oeste;COLETA SELETIVA PMPV;MISTO;RDO;RSU;67,46;;;Contratada Porta a Porta;;
Fev;2010;CTRS BR040;COOPERATIVAS PMPV;MISTO;RDO;RSU;1,95;;;Doaá‰es;;
Fev;2010;CTRS BR040;COLETA SELETIVA PMPV;MISTO;RDO;RSU;5,34;;;SLU LEV;;
Fev;2010;CTRS BR040;COLETA SELETIVA PMPV;MISTO;RDO;RSU;14,78;;;SLU Porta a Porta;;
Fev;2010;CTRS BR040;COLETA SELETIVA PMPV;MISTO;RDO;RSU;49,74;;;Contratada Porta a Porta;;
Fev;2010;Coleta seletiva de vidros/LEV;COLETA SELETIVA PMPV;VIDRO;RDO;RSU;40,44;;;SLU LEV;;
Mar;2010;ESTAÄ«O CTRS BR040;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;5187,6;;4323;SLU;;
Mar;2010;ESTAÄ«O ESTORIL;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;2972,4;;2477;SLU;;
Mar;2010;ESTAÄ«O PAMPULHA;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;6098,4;;5082;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;1307,38;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2934,16;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;11172,76;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;2068,78;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;33571,50667;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;COLETA RES÷DUOS ORG∂NICOS;RDO;RSU;279,88;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;ENTULHO RECEBIDO;RCC;RCCV;1784,11;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;25,17;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;3493,44;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;11605,40333;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;MANUTENÄ«O DE PARQUES E JARDINS;RPU;RSU;15,69;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RES DRENAGEM PLUVIAL;RPU;RSU;350,19;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RES PERECIVEL- VIG. SANITARIA;RPU;RSU;1,87;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;22882,94;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;PODA ATERRADA;RPO ;RPO;467,08;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;22,68;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;372,75;;;SLU;;
