estado,cidade,local,endereço,bairro,cep,tipo_de_material,horario_seg_sex,horario_sab_dom,tipo
SP,São Paulo,O Burguer,"Avenida Moaci, 806",Planalto Paulista,04083-002,Garrafas de vidro,07:00 - 22:00,07:00 - 22:00,Heineken
SP,São Paulo,Stell Bar,"Alameda dos Jurupis, 1806",Indianópolis,04088-006,Garrafas de vidro,07:00 - 22:00,07:00 - 22:00,Heineken
SP,São Paulo,Castro Bar,"Rua Joaquim Távora, 1517",Vila Mariana,04015-003,Garrafas de vidro,07:00 - 22:00,07:00 - 22:00,Heineken
SP,Aruja,Cooperativa Cora,"SP/ARUJA - BAIRRO DO PORTÃO - COOPERATIVA CORA - ASSOCIAÇÃO DOS TRABALHADORES DE MAT. REC. DE ARUJÁ - AVENIDA LONDRES, 240",Bairro do Portão,,Cápsulas de café,,,
SP,Barueri,Loja Pão de Açucar 1,"SP/BARUERI - CENTRO - LOJA PÃO DE AÇÚCAR - ALAMEDA MADEIRA, 152",Centro,,Cápsulas de café,,,
SP,Barueri,Cooperativa Cooperyara,"SP/BARUERI - JARDIM CALIFÓRNIA - COOPERATIVA COOPERYARA - COOP. DE TRAB. DOS PROF. DE REC. DO MUN. DE BARUERI E REGIÃO - ESTRADA DOUTOR CICERO BORGES DE MORAES , 3517",Jardim Califórnia,,Cápsulas de café,,,
SP,Barueri,Loja Pão de Açucar 2,"SP/BARUERI - TAMBORÉ - LOJA PÃO DE AÇÚCAR - AV. MARCOS PENTEADO DE ULHOA RODRIGUES, 3212,",Tamboré,,Cápsulas de café,,,
SP,Biritiba Mirim,Cooperativa Cooperalto,"SP/BIRITIBA MIRIM - BAIRRO DO SOGO - COOPERATIVA COOPERALTO - COOP.DE REC. DE MAT. PRIMA DO ALTO TIETÊ - ESTRADA DO SOGO, 183",Bairro do Sogo,,Cápsulas de café,,,
SP,Campinas,Loja Pão de Açucar 3,"SP/CAMPINAS - CAMBUÍ - LOJA PÃO DE AÇÚCAR - AV. GAL OSÓRIO, 1844",Cambuí,,Cápsulas de café,,,
SP,Campinas,Loja Pão de Açucar 4,"SP/CAMPINAS - GUANABARA - LOJA PÃO DE AÇÚCAR - AV. BARÃO DE ITAPURA, 2233,",Guanabara,,Cápsulas de café,,,
SP,Campinas,Boutique Nespresso Miami Store,"SP/CAMPINAS - TAQUARAL - BOUTIQUE NESPRESSO MIAMI STORE - RUA CASTRO ALVES, 508, TÉRREO, TAQUARAL, CAMPINAS/SP - CEP: 13076-040",Taquaral,,Cápsulas de café,,,
SP,Campinas,Boutique Nespresso Iguatemi,"SP/CAMPINAS - VILA BRANDINA - BOUTIQUE NESPRESSO IGUATEMI CAMPINAS - AVENIDA IGUATEMI, 777 – PISO 1; LOJA 124, 125, 126, VILA BRANDINA, CAMPINAS/SP - CEP: 13092-902",Vila Brandina,,Cápsulas de café,,,
SP,Cotia,Cooperativa Coopernova,"SP/COTIA - JARDIM RIO DAS PEDRAS - COOPERATIVA COOPERNOVA COTIA RECICLA - ESTRADA MANOEL LAGES DO CHÃO , 590",Jardim Rio das Pedras,,Cápsulas de café,,,
SP,Diadema,Cooperativa Nova Conquista,"SP/DIADEMA - PIRAPORINHA - COOPERATIVA NOVA CONQUISTA - TRAVESSA ETCD, 80",Piraporinha,,Cápsulas de café,,,
SP,Diadema,Cooperativa Cooperfenix,"SP/DIADEMA - TABOÃO - COOPERATIVA COOPERATIVA COOPERFENIX - AVENIDA PRESTES MAIA, 2080",Taboão,,Cápsulas de café,,,
SP,Guarulhos,Cooperativa Coop Recicláveis,"SP/GUARULHOS - JARDIM SÃO GERALDO - COOPERATIVA COOP. RECICLÁVEL - COOPERATIVA DE TRABALHO DOS CATADORES DA ÁREA DE MATERIAL RECICLÁVEL DE GUARULHOS - RUA ESTRELA D´OESTE , 120",Jardim São Geraldo,,Cápsulas de café,,,
SP,Guarulhos,Cooperativa Guarulhos Recicla,"SP/GUARULHOS - VILA ROSALIA - COOPERATIVA GUARULHOS RECICLA - RUA IPIRANGA, 517",Via Rosália,,Cápsulas de café,,,
SP,Guarulhos,Cooperativa Recicla Mais Guarulhos,"SP/GUARULHOS - VILA SÃO RAFAEL - COOPERATIVA RECICLA MAIS GUARULHOS - RUA SANTA ANGELINA, 767",Vila São Rafael,,Cápsulas de café,,,
SP,Itapevi,Cooperativa CMR,"SP/ITAPEVI - JARDIM PORTELA - COOPERATIVA CMR ITAPEVI - COOPERATIVA DE PROD. DOS CATADORES DE MATERIAIS RECICLÁVEIS DE ITAPEVI - ESTR. ARACARIGUAMA, 1086",Jardim Portela,,Cápsulas de café,,,
SP,Jundia i,Boutique Nespress Jundiaí Shopping,"SP/JUNDIAÍ - ANHANGABAU - BOUTIQUE NESPRESSO JUNDIAÍ SHOPPING - AV. NOVE DE JULHO, 3333 – LUC NÚMERO 272; PISO JUNDIAÍ L2 (JUNDIAÍ SHOPPING), ANHANGABAU, JUNDIAÍ/SP - CEP: 13208-056",Anhangabu,,Cápsulas de café,,,
SP,Mauá,Cooperativa Coopercata,"SP/MAUÁ - CAPUAVA - COOPERATIVA COOPERCATA - COOPERATIVA DE CATADORES DE PAPEL, PAPELÃO E MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE MAUÁ - RUA PEDRO LUIZ COPINI , 113",Capuava,,Cápsulas de café,,,
SP,Mogi das Cruzes,Cooperativa Rede Cata Sampa,"SP/MOGI DAS CRUZES - JUNDIAPEBA - COOPERATIVA REDE CATA SAMPA - REDE DE COOP. DE CATADORES DE MATERIAL RECICLÁVEL - UNIDADE DE TRIAGEM - RUA CECÍLIA DA ROCHA , 304",Jundiapeba,,Cápsulas de café,,,
SP,Osasco,Cooperativa Cooperareis,"SP/OSASCO - INDUSTRIAL ANHANGÜERA - COOPERATIVA COOPERAREIS - RUA HENKEL, 80",Industrial Anhanguera,,Cápsulas de café,,,
SP,Osasco,Cooperativa Coopermundi,"SP/OSASCO - JD GUAÇU - COOPERATIVA COOPERMUNDI - RUA ALFREDO BENICASA, 100",Jardim Guaçu,,Cápsulas de café,,,
SP,Ribeirão Pires,Cooperativa Cooperpires,"SP/RIBEIRÃO PIRES - ALIANÇA - COOPERATIVA COOPERPIRES - R. PROF. RENATO ANDREGHETO, 55",Aliança,,Cápsulas de café,,,
SP,Ribeirão Preto,Boutique Nespresso Ribeirão Preto,"SP/RIBEIRÃO PRETO - JARDIM CALIFÓRNIA - BOUTIQUE NESPRESSO RIBEIRÃO PRETO SHOPPING - AVENIDA CORONEL FERNANDO FERREIRA LEITE, 1540 - LOJA 255, PISO TERRA VERMELHA, JARDIM CALIFÓRNIA, RIBEIRÃO PRETO/SP - CEP: 14026-900",Jardim Califórnia,,Cápsulas de café,,,
SP,Salesopólis,Cooperativa Cooperares,"SP/SALESOPOLIS - CENTRO - COOPERATIVA COOPERARES - RUA VINTE E OITO DE FEVEREIRO, 700",Centro,,Cápsulas de café,,,
SP,Santana de Parnaíba,Loja Pão de Açucar 5,"SP/SANTANA DE PARNAIBA - ALPHAVILLE - LOJA PÃO DE AÇÚCAR - AV. MARTE 624,",Alphaville,,Cápsulas de café,,,
SP,Santana de Parnaíba,Cooperativa Avemare,"SP/SANTANA DE PARNAÍBA - BAIRRO JARDIM SÃO LUIZ - COOPERATIVA AVEMARE - RUA ALEMANHA, 44",Bairro Jardim São Luiz,,Cápsulas de café,,,
SP,Santos,Boutique Nespresso Praiamar Shopping,"SP/SANTOS - APARECIDA - BOUTIQUE NESPRESSO PRAIAMAR SHOPPING - RUA ALEXANDRE MARTINS, 80 QUIOSQUE AUC108 NIVEL I, APARECIDA, SANTOS/SP - CEP:11025-200",Aparecida,,Cápsulas de café,,,
SP,São Bernardo do Campo,Cooperativa Reluz,"SP/SÃO BERNARDO DO CAMPO - ALVES DIAS - COOPERATIVA RELUZ - COOPERATIVA DE TRABALHODOS CATADORES EM COLETA E TRIAGEM DE MATERIAIS RECICLÁVEIS - ESTRADA DA COOPERATIVA, 711",Alves Dias,,Cápsulas de café,,,
SP,São Bernardo do Campo,Cooperativa Cooperluz,"SP/SÃO BERNARDO DO CAMPO - COOPERATIVA (DOS CASA) - COOPERATIVA COOPERLUZ - ESTRADA YAE MASSUMOTO, 470",,,Cápsulas de café,,,
SP,São Caetano do Sul,Boutique Nespresso Park Shopping,"SP/SÃO CAETANO DO SUL - ESPAÇO CERÂMICA - BOUTIQUE NESPRESSO PARK SHOPPING SÃO CAETANO - ALAMEDA TERRACOTA, 545 - PISO PSC 19, ESPAÇO CERÂMICA, SÃO CAETANO DO SUL/SP - CEP: 09531-190",,,Cápsulas de café,,,
SP,São Caetano do Sul,Cooperativa Colheitar,"SP/SÃO CAETANO DO SUL - PROSPERIDADE - COOPERATIVA COLHEITAR - RUA SAFIRA, 35",Proesperidade,,Cápsulas de café,,,
SP,São Caetano do Sul,Cooperativa COOPTRESC,"SP/SÃO CAETANO DO SUL - PROSPERIDADE - COOPERATIVA COOPTRESC - AVENIDA DO ESTADO, 4200",Proesperidade,,Cápsulas de café,,,
SP,São Caetano do Sul,Loja Pão de Açucar 6,"SP/SÃO CAETANO DO SUL - SANTA PAULA - LOJA PÃO DE AÇÚCAR - RUA MARANHÃO, 975,",Santa Paula,,Cápsulas de café,,,
SP,São José dos Campos,Boutique Nespresso Center Vale,"SP/SÃO JOSÉ DOS CAMPOS - JARDIM OSWALDO CRUZ - BOUTIQUE NESPRESSO CENTER VALE SÃO JOSÉ DOS CAMPOS - AV DEPUTADO BENEDITO MATARAZZO, 9403 - PISO DUTRA LUC QD08 E LUC DE40, JARDIM OSWALDO CRUZ, SÃO JOSÉ DOS CAMPOS/SP - CEP: 12216-580",Jardim Oswaldo Cruz,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 7,"SP/SÃO PAULO - VILA LEOPOLDINA - LOJA PÃO DE AÇÚCAR - AVENIDA IMPERTARIZ LEOPOLDINA , 845 - VILA LEOPOLDINA",Vila Leolpodina,,Cápsulas de café,,,
SP,São Paulo,Cooperativa Vivabem,"SP/SÃO PAULO - ÁGUA BRANCA - COOPERATIVA COOPERATIVA VIVABEM - AVENIDA PRESIDENTE CASTELO BRANCO, 7729",Água Branca,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 8,"SP/SÃO PAULO - ALTO DA LAPA - LOJA PÃO DE AÇÚCAR - R. BAIRI, 435,",Alto da lapa,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 9,"SP/SÃO PAULO - ALTO DE PINHEIROS - LOJA PÃO DE AÇÚCAR - PÇA. PANAMERICANA,190,",Alto de pinheiros,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 10,"SP/SÃO PAULO - ALTO DE PINHEIROS - LOJA PÃO DE AÇÚCAR - PRAÇA PANAMERICANA, 190,",Alto de pinheiros,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 11,"SP/SÃO PAULO - ALTO DE PINHEIROS - LOJA PÃO DE AÇÚCAR - PRAÇA PANAMERICANA, 217,",Alto de pinheiros,,Cápsulas de café,,,
SP,São Paulo,Boutique Nespresso Pátio Paulista,"SP/SÃO PAULO - BELA VISTA - BOUTIQUE NESPRESSO PÁTIO PAULISTA - RUA TREZE DE MAIO, 1933; LOJAS 305,306 E 307 PISO PAULISTA, BELA VISTA, SÃO PAULO/SP - CEP: 01327-900",Bela Vista,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 12,"SP/SÃO PAULO - BELA VISTA - LOJA PÃO DE AÇÚCAR - RUA PEDROSO, 215",Bela Vista,,Cápsulas de café,,,
SP,São Paulo,Cooperativa Vitória do Belém,"SP/SÃO PAULO - BELENZINHO - COOPERATIVA COOPERATIVA VITÓRIA DO BELÉM - RUA ARISTON DE AZEVEDO , 10",Belenzinho,,Cápsulas de café,,,
SP,São Paulo,Boutique Nespresso Morumbi,"SP/SÃO PAULO - BROOKLIN - BOUTIQUE NESPRESSO MORUMBI - AVENIDA ROQUE PETRONI JUNIOR, 1089 – PISO TÉRREO – LOJA 081-T, BROOKLIN, SÃO PAULO/SP - CEP: 04707-000",Brooklin,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 13,"SP/SÃO PAULO - BROOKLIN - LOJA PÃO DE AÇÚCAR - AV. SANTO AMARO, 4530,",Brooklin,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 14,"SP/SÃO PAULO - BROOKLIN - LOJA PÃO DE AÇÚCAR - AV.SANTO AMARO, 3271,",Brooklin,,Cápsulas de café,,,
SP,São Paulo,Cooperativa Cooper Trabalhadres CSRR,"SP/SÃO PAULO - BUTANTÃ (JARDIM OLYMPIA/ VILA ALBANO) - COOPERATIVA COOPER TRABALHADORES CSRR BUTANTÃ - RUA NELLA MURARI ROSA, 40",Butantã,,Cápsulas de café,,,
SP,São Paulo,Cooperativa Associação Nova Glicério,"SP/SÃO PAULO - CAMBUCI - COOPERATIVA ASSOCIAÇÃO NOVA GLICÉRIO - AVENIDA DO ESTADO, 4434",Cambuci,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 15,"SP/SÃO PAULO - CASA VERDE - LOJA PÃO DE AÇÚCAR - R. BERNARDINO FANGANIELLO, 349,",Casa Verde,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - CERQUEIRA CESAR - BOUTIQUE NESPRESSO OSCAR FREIRE - RUA OSCAR FREIRE, 953, CERQUEIRA CESAR, SÃO PAULO/SP - CEP: 01426-003",Cerqueira Cesar,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 16,"SP/SÃO PAULO - CID. MONÇÕES - LOJA PÃO DE AÇÚCAR - R. PE.ANTONIO JOSÉ DOS SANTOS, 872,",Cid. Monções,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 17,"SP/SÃO PAULO - CIDADE JARDIM - LOJA PÃO DE AÇÚCAR - AV. MAGALHÃES DE CASTRO, Nº 6118",Cidade Jardim,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - CITY JARAGUA - COOPERATIVA COOPERCITY JARAGUÁ - COOPERATIVA DE TRABALHO E PRODUÇÃO DE COLETA E TRIAGEM DE MATERIAL RECICLÁVEL - CITY JARAGUA - RUA OSCAR PANDER , 100",City Jaraguá,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - CONJ. PROMORAR RIO CLARO - COOPERATIVA COOPERATIVA DE TRABALHADORES COM MATERIAIS REAPROVEITÁVEIS E RECICLÁVEIS CHICO MENDES - RUA CINIRA POLÔNIO, 369",Conjunto Promorar Rio Claro,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 18,"SP/SÃO PAULO - COTIA - LOJA PÃO DE AÇÚCAR - RODOVIA RAPOSO TAVARES, KM 23 AREA B,",Cotia,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 19,"SP/SÃO PAULO - ESTACAO SANTO AMARO - LOJA PÃO DE AÇÚCAR - AV. WASHINGTON LUIZ, 3919",,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - GUAIANAZES - COOPERATIVA COOPERATIVA DE PRODUÇÃO, COLETA E TRIAGEM DE MATERIAIS RECICLÁVEIS DE VITÓRIA DA PENHA - RUA CHAPADA DIAMANTINA , 328",Guaianazes,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - HIGIENÓPOLOIS - BOUTIQUE NESPRESSO HIGIENÓPOLIS - AVENIDA HIGIENÓPOLIS, 618 – PISO PACAEMBU; LOJA 275, HIGIENÓPOLIS, SÃO PAULO/SP - CEP: 01238-000",Higienópolis,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 20,"SP/SÃO PAULO - HIGIENÓPOLOIS - LOJA PÃO DE AÇÚCAR - R. MARANHÃO, 846 - HIGIENÓPOLOIS",Higienópolis,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 21,"SP/SÃO PAULO - ITAIM BIBI - LOJA PÃO DE AÇÚCAR - R. JOAQUIM FLORIANO, 24,",Itaim bibi,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 22,"SP/SÃO PAULO - ITAIM BIBI - LOJA PÃO DE AÇÚCAR - RUA CLODOMIRO AMAZONAS, 955,",Itaim bibi,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 23,"SP/SÃO PAULO - JABAQUARA - LOJA PÃO DE AÇÚCAR - AV. ENGENHEIRO ARMANDO ARRUDA PEREIRA, 2022,",Jabaquara,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 24,"SP/SÃO PAULO - JARDIM - LOJA PÃO DE AÇÚCAR - RUA DAS GOIABEIRAS, 359",Jardim,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM ALTO ALEGRE - COOPERATIVA ASSOCIAÇÃO 28 (VINTE E OITO) - COMUNIDADE ESPERANÇA - RUA BOA ESPERANÇA , 78 - ALTURA DA AVENIDA SAPOPEMBA, 19477",Jardim alto alegre,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM LETÍCIA - COOPERATIVA COOPERATIVA PONTE BAIXA (FILIAL DA COOPER PAC) - RUA PEDRO ARMANI, 250",Jardim Letícia,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM MATARAZZO - COOPERATIVA COOPERATIVA RAINHA DA RECICLAGEM - RUA JAPICHAUA , 313",Jardim Matarazzo,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM NOVE DE JULHO - COOPERATIVA CASA DO CATADOR - COOPERATIVA DE TRABALHO E SERVIÇOS DE GESTÃO INTEGRADA EM RESÍDUOS SÓLIDOS - ESTRADA FAZENDA DO CARMO , 450",Jardim Nove de Julho,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM PAULISTA - BOUTIQUE NESPRESSO IGUATEMI SP​ - AVENIDA BRIGADEIRO FARIA LIMA, 2232 -LOJA P-06 PISO 2, JARDIM PAULISTA, SÃO PAULO/SP - CEP: 01451-001",Jardim Paulista,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM SANTO ANTÔNIO - COOPERATIVA COOPERATIVA CAMINHO CERTO - RUA JEQUIRANA DE GOIÁS, 113",Jardim Santo Antônio,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JARDIM SATÉLITE - COOPERATIVA COOPER PAC - COOPERATIVA DE CATADORES SELETIVOS PARQUE COCAIA - RUA PEDRO SANTA LÚCIA, 468",Jardim Satélite,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 25,"SP/SÃO PAULO - JARDIM VILA MARIANA - LOJA PÃO DE AÇÚCAR - R. PROF. SERAFIM ORLANDI, 299,",Jardim Vila Mariana,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - JD. NOVE DE JULHO - COOPERATIVA COOPER LESTE - COOPERATIVA DE MATERIAIS RECICLÁVEIS DE SÃO MATEUS - ESTRADA FAZENDA DO CARMO , 450",Jardim Nove de Julho,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 26,"SP/SÃO PAULO - JD. PAULISTANO - LOJA PÃO DE AÇÚCAR - AL. GABRIEL MONTEIRO DA SILVA, 1351,",Jardim Paulistano,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 27,"SP/SÃO PAULO - JD.PAULISTA - LOJA PÃO DE AÇÚCAR - AV. BRIG. LUIS ANTONIO, 3126",Jardim Paulista,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - LIBERDADE - COOPERATIVA COOPER GLICÉRIO - RUA TEIXEIRA LEITE , 140",Liberdade,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - LIBERDADE - COOPERATIVA RECIFRAN - RUA JUNQUEIRA FREIRE, 176",Liberdade,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - LUZ - COOPERATIVA REVIRAVOLTA - RUA VINTE E CINCO DE JANEIRO, 274",Luz,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 28,"SP/SÃO PAULO - MOEMA - LOJA PÃO DE AÇÚCAR - AL. DOS MARACATINS, 1545/1555 - MOEMA",Moema,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 29,"SP/SÃO PAULO - MOEMA - LOJA PÃO DE AÇÚCAR - AV.IBIRAPUERA, 3068 - MOEMA",Moema,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 30,"SP/SÃO PAULO - MOEMA - LOJA PÃO DE AÇÚCAR - AV. LAVANDISCA, 249/263,",Moema,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 31,"SP/SÃO PAULO - MOEMA - LOJA PÃO DE AÇÚCAR - AV.IBIRAPUERA, 1770",Moema,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 32,"SP/SÃO PAULO - NOVA PETROPOLIS - LOJA PÃO DE AÇÚCAR - R.SANTA FILOMENA, 677",Nova Petrópolis,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 33,"SP/SÃO PAULO - PARAÍSO - LOJA PÃO DE AÇÚCAR - RUA ABILIO SOARES, 386,",Paraíso,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - PARQUE SÃO LOURENÇO - COOPERATIVA COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS FILADÉLPHIA - RUA FORTE CANANÉIA, 110",Parque São Lourenço,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - PERDIZES - BOUTIQUE NESPRESSO BOURBON - RUA PALESTRA ITÁLIA, 500, SETOR SUC Q02Q01, PERDIZES, SÃO PAULO/SP - CEP: 05005-900",Perdizes,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 34,"SP/SÃO PAULO - PERDIZES - LOJA PÃO DE AÇÚCAR - R.CARDOSO DE ALMEIDA, 472",Perdizes,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - PINHEIROS - BOUTIQUE NESPRESSO ELDORADO - AVENIDA REBOUÇAS, 3970 – PISO TÉRREO, LOJA NQ011, PINHEIROS, SÃO PAULO/SP - CEP: 05401-450",Pinheiros,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - PINHEIROS - COOPERATIVA COOPAMARE - COOP. DOS CAT. AUTONOMOS DE PAPEL APARAS E MAT.REAPROVEITÁVEIS - RUA GALENO DE ALMEIDA, 659",Pinheiros,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 35,"SP/SÃO PAULO - PINHEIROS - LOJA PÃO DE AÇÚCAR - R.ALVES GUIMARÃES, 50 - PINHEIROS",Pinheiros,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 36,"SP/SÃO PAULO - PLANALTO PAULISTA - LOJA PÃO DE AÇÚCAR - ALAMEDA DOS GUATAS, 1261",Planalto Paulista,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 37,"SP/SÃO PAULO - PLANALTO PAULISTA - LOJA PÃO DE AÇÚCAR - AV JOSE MARIA WHITAKER, 600",Planalto Paulista,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 38,"SP/SÃO PAULO - POMPÉIA - LOJA PÃO DE AÇÚCAR - AV. PROF.ALFONSO BOVERO, 1425,",Pómpeia,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 39,"SP/SÃO PAULO - SANTANA - LOJA PÃO DE AÇÚCAR - R. VOLUNTÁRIOS DA PÁTRIA, 1723,",Santana,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 40,"SP/SÃO PAULO - SANTANA - LOJA PÃO DE AÇÚCAR - RUA DR. CÉSAR, 1234,",Santana,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 41,"SP/SÃO PAULO - SANTO AMARO - LOJA PÃO DE AÇÚCAR - AV. SANTO AMARO, 5460",Santo Amaro,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 42,"SP/SÃO PAULO - SAÚDE - LOJA PÃO DE AÇÚCAR - RUA CARNEIRO DA CUNHA, S/Nº,",Saúde,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - TATUAPÉ - COOPERATIVA COOPERATIVA DE PRODUÇÃO COLETA E TRIAGEM CENTRAL TIETÊ - AVENIDA SALIM FARAH MALUF , 179",Tatuapé,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 42,"SP/SÃO PAULO - TUCURUVI - LOJA PÃO DE AÇÚCAR - AV. NOVA CANTAREIRA, 240/248",Tucuruvi,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 43,"SP/SÃO PAULO - VILA ALBERTINA - LOJA PÃO DE AÇÚCAR - R. MARIA AMÁLIA LOPES AZEVEDO, 842,",Vila Albertina,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 44,"SP/SÃO PAULO - VILA ANDRADE - LOJA PÃO DE AÇÚCAR - RUA DR. JOSÉ RAMON URTIZA, 1000,",Vila Andrade,,Cápsulas de café,,,
SP,São Paulo,São Paulo,"SP/SÃO PAULO - VILA BERTIOGA - COOPERATIVA RECICLA PLANET - RUA RIBEIRÃO BRANCO, 283A",Vila Bertioga,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 45,"SP/SÃO PAULO - VILA CLEMENTINO - LOJA PÃO DE AÇÚCAR - AVENIDA DOUTOR ALTINO ARANTES,268,",Vila Clementino,,Cápsulas de café,,,
SP,São Paulo,Loja Pão de Açucar 46,"SP/SÃO PAULO - VILA GOMES CARDIM - LOJA PÃO DE AÇÚCAR - RUA SERRA DE JAPI, 647,",Vila Gomes Cardim,,Cápsulas de café,,,
SP,São Paulo,BOUTIQUE NESPRESSO CENTER NORTE,"AVENIDA OTTO BAUMGART, 500, TÉRREO (SHOPPING CENTER NORTE), VILA GUILHERME",Vila Guilherme,,Cápsulas de café,,,Três Corações
SP,São Paulo,COOPERATIVA COOPERATIVA UNIAO AMBIENTAL E ARTESANAL MOFARREJ,"AVENIDA DOUTOR GASTÃO VIDIGAL, 1076 (DEBAIXO DO VIADUTO)",Vila Leopoldina,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA PÃO DE AÇÚCAR,"AV. VEREADOR JOÃO DE LUCA, 1005",Jardim Prudência,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA PÃO DE AÇÚCAR,"RUA PEREIRA DA NOBREGA, S/N",Campo Belo,,Cápsulas de café,,,Três Corações
SP,São Paulo,BOUTIQUE NESPRESSO JK IGUATEMI,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 2041, LOJA 250, PISO XINGU, VILA NOVA CONCEIÇÃO",Vila Nova Conceição,,Cápsulas de café,,,Três Corações
SP,São Paulo,COOPERATIVA COOPERATIVA DE TRABALHADORES DE MATERIAIS RECICLÁVEIS DA FAVELA DE VILA PRUDENTE,"RUA CAPITÃO PACHECO E CHAVES , 108",Ipiranga,,Cápsulas de café,,,Três Corações
SP,São Paulo,BOUTIQUE NESPRESSO ANÁLIA FRANCO,"AVENIDA REGENTE FEIJÓ, 1739, PISO TULIPA; LUC 75 A 77, VILA REGENTE FEIJÓ",Vila Regente Feijó,,Cápsulas de café,,,Três Corações
